run,n_acciones,kge_mediano,weap_J1_gw_storage,weap_J2_unmet_ap,weap_J3_agri_value,weap_J4_supply_cost,weap_J51_mean_town_fail,weap_J52_worst_year_frac,weap_J6_coastal_salinity,mlp_J1_gw_storage,mlp_J2_unmet_ap,mlp_J3_agri_value,mlp_J4_supply_cost,mlp_J51_mean_town_fail,mlp_J52_worst_year_frac,mlp_J6_coastal_salinity
637,2,0.8070220206157573,38055256.0,18405444.0,36133386567.008736,77400194925.79878,,,0.865897047538209,38115186.45743301,18936383.954966683,37837370424.93819,72535711096.82645,,,0.8667275239944116
645,3,0.8231814167765865,37915920.0,7794226.0,56764345489.29721,51575319717.57117,,,0.8654416399865348,37796012.09358612,8609717.409640187,55803366874.02957,44793705562.71847,,,0.8663679473610852
647,2,0.8658265991472571,38446180.0,11459896.0,62162911487.20316,74680527782.96635,,,0.864874660181462,38294455.682213955,12082310.183060814,60365656800.820854,69874085411.11667,,,0.8611092897051256
648,2,0.873939314216983,34605796.0,65788096.0,56623555190.45277,107804858884.14671,,,0.8590356936358443,33611421.65682982,63595660.535128884,54937533749.43844,111253633247.60744,,,0.8715480070950985
654,1,0.8292299579653033,37928212.0,8289917.0,55457010771.46832,57240938321.8181,,,0.8655539044781814,37972584.82108959,8839101.538395103,55790163762.177795,51350698437.48185,,,0.8629625087392863
660,3,0.8544447560565837,36233780.0,53492384.0,49687177941.04554,89906010959.57896,,,0.8624932010134895,35978560.41285498,53968937.37716612,47863731272.28554,102869208686.48674,,,0.8709533413726086
667,1,0.8693860571809587,32121484.0,13660993.0,43468078217.72089,77883316037.64638,,,0.8643377649293171,31819377.823690273,14185035.100823656,42707423565.52324,93075227181.76031,,,0.8654892042875388
671,2,0.8631103471253021,38410596.0,54955924.0,62031338028.926254,90052548437.93301,,,0.8504707048174569,38164709.28028785,54152097.90769334,60937553568.83202,95611849264.44582,,,0.8645549380572498
682,2,0.8548868151734128,37863192.0,13719079.0,55577221039.2653,83540804745.892,,,0.8630885903744523,37494665.26290544,13929656.265257843,55046866507.03315,81294569972.74512,,,0.8625384581928958
685,1,0.839174018073567,34798836.0,15219496.0,35394365648.94265,93576968210.52666,,,0.8650981694483071,34629474.88690375,15191089.843800152,37526257237.054405,95563856581.00104,,,0.8669755785084937
